Open,High,Low,Close,Adj Close,Volume
498.814208984375,498.814208984375,467.15545654296875,491.6824035644531,440.4219055175781,38323043
525.6956176757812,525.6956176757812,487.0650329589844,489.4880065917969,438.456298828125,10696412
493.6939392089844,500.36859130859375,489.46514892578125,497.3970031738281,445.540771484375,11845880
497.3970031738281,509.740478515625,492.8253479003906,505.6488342285156,452.9323425292969,13098960
506.5403137207031,509.19189453125,501.0543212890625,504.32305908203125,451.7447509765625,7555074
518.7466430664062,525.6041870117188,480.0246887207031,494.4254150390625,442.8790283203125,94324821
500.59716796875,519.935302734375,492.3681640625,495.72833251953125,444.0460205078125,16395254
497.3970031738281,499.22564697265625,488.5279541015625,497.6712951660156,445.7864685058594,7680088
496.482666015625,514.220703125,496.482666015625,512.8035278320312,459.34112548828125,12272814
514.6778564453125,520.666748046875,505.1916809082031,507.7975158691406,454.85699462890625,9383308
506.0831604003906,510.40338134765625,499.2027893066406,502.6544189453125,450.25006103515625,7086096
502.88299560546875,505.6488342285156,494.951171875,496.0255126953125,444.312255859375,6532333
500.59716796875,501.5572204589844,490.08233642578125,492.59674072265625,441.2409973144531,9665512
491.4538269042969,492.3681640625,480.13897705078125,481.8761901855469,431.6380920410156,9305660
475.9101867675781,489.62518310546875,470.65277099609375,481.7847595214844,431.5561828613281,19934782
479.8646545410156,482.03619384765625,473.9443664550781,476.39019775390625,426.7240295410156,6696638
472.71002197265625,480.0246887207031,466.3096923828125,469.76129150390625,420.7862548828125,12421742
475.4530029296875,478.4017333984375,468.59552001953125,474.15008544921875,424.71746826171875,16611729
472.2071228027344,480.8475646972656,465.4410705566406,478.2874450683594,428.4234924316406,11666521
474.3100891113281,482.3105163574219,473.4186096191406,477.9217224121094,428.09588623046875,6066432
480.9389953613281,482.92767333984375,468.1840515136719,469.6470031738281,420.68389892578125,8624499
471.38421630859375,479.293212890625,471.38421630859375,472.6871643066406,423.40704345703125,7526133
474.5386657714844,474.5386657714844,463.5666809082031,465.92108154296875,417.346435546875,5987301
445.7372131347656,460.7093811035156,445.7372131347656,448.8002014160156,402.0104064941406,14941438
450.3088684082031,459.155029296875,445.7372131347656,454.5833740234375,407.1907043457031,12947466
454.30908203125,456.25201416015625,449.25738525390625,454.0804748535156,406.7402648925781,7146015
457.1206359863281,457.1206359863281,448.9373779296875,450.3545837402344,403.4028015136719,9130623
452.2518310546875,466.21826171875,451.908935546875,464.0924377441406,415.7083740234375,11725051
469.5098571777344,469.5098571777344,460.64080810546875,461.7380065917969,413.59942626953125,6749308
461.7837219238281,466.766845703125,459.4521789550781,465.28106689453125,416.7731018066406,5034128
468.59552001953125,474.4472351074219,467.24688720703125,472.047119140625,422.83380126953125,7815061
470.88134765625,474.6986999511719,454.8805236816406,456.16058349609375,408.6035461425781,9917057
454.8805236816406,454.8805236816406,446.7200927734375,449.4859619140625,402.624755859375,8877267
455.0176696777344,457.1663513183594,443.45135498046875,447.0858459472656,400.474853515625,6346022
445.280029296875,449.39453125,443.45135498046875,445.897216796875,399.41009521484375,6488467
443.45135498046875,450.6288757324219,441.91986083984375,447.47442626953125,400.8229064941406,6243794
448.0687561035156,450.3088684082031,438.4911193847656,440.2969055175781,394.3936767578125,9477031
442.99420166015625,454.8805236816406,441.73699951171875,447.5429992675781,400.8843078613281,11289616
450.3088684082031,456.7091979980469,447.74871826171875,449.4859619140625,402.624755859375,9105298
451.68035888671875,469.9670104980469,451.68035888671875,468.50408935546875,419.66009521484375,13311983
475.4530029296875,475.4530029296875,460.8236999511719,463.5666809082031,415.2374572753906,10390609
467.2240295410156,469.05267333984375,459.4978942871094,461.6465759277344,413.5175476074219,5887252
466.8582763671875,469.5098571777344,458.0806884765625,459.0407409667969,411.183349609375,5970649
460.137939453125,462.5609130859375,451.7032165527344,452.75469970703125,405.55267333984375,8729760
454.8805236816406,465.8067932128906,452.2746887207031,461.16656494140625,413.0875549316406,12403587
461.7380065917969,466.3096923828125,460.36651611328125,464.6867370605469,416.2406921386719,7291886
464.02386474609375,472.2528381347656,463.5666809082031,467.0411376953125,418.3496398925781,11166626
467.2240295410156,471.7728271484375,463.1552429199219,469.9898681640625,420.990966796875,9065850
471.7956848144531,489.99090576171875,470.4241943359375,488.2308044433594,437.3302001953125,16999358
491.3623962402344,494.882568359375,487.2478942871094,489.0308532714844,438.0468444824219,10799736
490.9966735839844,494.47113037109375,486.4707336425781,492.3453063964844,441.0157470703125,7646212
493.1910705566406,501.28289794921875,489.236572265625,499.24853515625,447.19927978515625,9868873
485.51068115234375,502.4258117675781,485.51068115234375,490.97381591796875,439.7872619628906,10234241
492.802490234375,500.11712646484375,492.3453063964844,498.95135498046875,446.93304443359375,10002772
501.0543212890625,501.5115051269531,492.551025390625,498.9742126464844,446.95355224609375,11483944
501.5115051269531,507.9118347167969,500.6657409667969,503.0887145996094,450.63909912109375,9037758
504.5744934082031,507.4317932128906,498.76849365234375,499.8199768066406,447.7111511230469,10124892
501.0543212890625,505.48883056640625,495.1111755371094,497.465576171875,445.6022644042969,9469397
499.6371154785156,500.59716796875,489.7623291015625,491.1109619140625,439.91009521484375,10823854
492.8253479003906,502.1972351074219,492.3681640625,499.24853515625,447.19927978515625,6259988
501.28289794921875,516.43798828125,501.28289794921875,514.7235717773438,461.06097412109375,9956467
515.6836547851562,517.969482421875,512.1177368164062,513.4892578125,459.955322265625,6240918
514.3121337890625,525.6041870117188,513.4435424804688,516.4608154296875,462.6170959472656,10109287
517.969482421875,519.569580078125,503.5687561035156,505.87744140625,453.1370849609375,7361714
