Open,High,Low,Close,Adj Close,Volume
377.3999938964844,379.45001220703125,374.5249938964844,375.82501220703125,284.0374755859375,1963682
377.5,379.7749938964844,373.2749938964844,375.92498779296875,284.1129455566406,2014488
375.92498779296875,376.1000061035156,366.5,367.42498779296875,277.6888732910156,3349176
367.75,369.70001220703125,355.5,357.20001220703125,269.9610900878906,6474892
358.0,359.25,348.25,349.8999938964844,264.4440612792969,6048178
352.0,360.04998779296875,350.20001220703125,357.1000061035156,269.885498046875,4318408
366.0,377.0,363.5,375.0249938964844,283.43267822265625,9027690
372.5,398.20001220703125,372.32501220703125,394.2749938964844,297.9813232421875,10910272
399.2250061035156,399.2250061035156,384.67498779296875,389.92498779296875,294.6937255859375,10327614
398.0,399.79998779296875,386.125,395.70001220703125,299.0583190917969,7945008
400.0,414.5,396.5,401.1000061035156,303.1394958496094,7261084
401.1000061035156,401.1000061035156,389.32501220703125,390.3500061035156,295.014892578125,5154850
396.1000061035156,396.1000061035156,385.45001220703125,389.70001220703125,294.52362060546875,4347054
386.125,395.9750061035156,383.95001220703125,385.32501220703125,291.2172546386719,5089504
380.5,382.5,372.3500061035156,378.92498779296875,286.38031005859375,7574990
378.75,382.75,370.57501220703125,378.1000061035156,285.7567443847656,3008286
375.0,379.8500061035156,370.07501220703125,371.6499938964844,281.6268310546875,4844398
374.75,378.9750061035156,363.8500061035156,370.875,281.03955078125,6537196
367.0,369.8999938964844,356.07501220703125,368.1000061035156,278.9368591308594,5473326
367.17498779296875,381.3999938964844,360.0,373.07501220703125,282.70672607421875,3378012
377.5,381.32501220703125,367.5,369.20001220703125,279.7703857421875,4739188
372.0,378.45001220703125,367.75,376.4750061035156,285.2830810546875,2977676
376.4750061035156,376.95001220703125,366.25,369.3500061035156,279.88397216796875,2716612
367.5,367.5,358.29998779296875,361.75,274.1248779296875,4607118
364.5,367.375,354.07501220703125,362.07501220703125,274.37115478515625,4170344
362.5,370.9750061035156,360.5249938964844,367.57501220703125,278.53900146484375,3005894
369.95001220703125,371.8500061035156,364.04998779296875,366.1499938964844,277.4591064453125,2337374
368.9750061035156,373.9750061035156,367.5,371.3500061035156,281.3995056152344,2413156
375.0,375.0,369.2749938964844,373.07501220703125,282.70672607421875,1956482
373.625,382.4750061035156,371.1000061035156,379.07501220703125,287.2533874511719,1660490
382.45001220703125,383.9750061035156,376.2749938964844,379.32501220703125,287.44281005859375,2528290
380.0,383.4750061035156,377.75,379.3999938964844,287.4996032714844,1814806
377.45001220703125,379.75,372.8999938964844,375.2749938964844,284.37371826171875,2215880
378.5,381.8500061035156,376.8999938964844,378.625,286.91229248046875,2143460
379.5,382.5,375.625,381.04998779296875,288.74993896484375,1853052
378.0,385.3500061035156,376.04998779296875,382.67498779296875,289.9812927246094,4076058
384.8999938964844,384.8999938964844,380.625,383.125,290.32232666015625,2672984
383.54998779296875,389.2749938964844,373.07501220703125,380.8999938964844,288.6362609863281,3015934
381.0,384.5,377.5,381.6000061035156,289.1667785644531,4053352
384.5,387.0,382.07501220703125,384.375,291.26953125,2754742
384.0,385.0,378.5,381.95001220703125,289.431884765625,2053606
382.5,383.4750061035156,380.07501220703125,381.29998779296875,288.9393005371094,1287312
383.79998779296875,385.0,380.1499938964844,381.3500061035156,288.9773864746094,3015740
381.5,389.25,381.5,384.3500061035156,291.2507019042969,3457732
381.8500061035156,392.2250061035156,380.0,390.0249938964844,295.5509338378906,4587874
390.0249938964844,397.45001220703125,385.9750061035156,395.79998779296875,299.9270935058594,3214030
400.0,400.0,396.0,398.4750061035156,301.95416259765625,2510976
398.4750061035156,410.0,395.57501220703125,409.0,309.92987060546875,6054434
410.75,415.9750061035156,407.8999938964844,414.5,314.0975036621094,3088856
417.0,422.95001220703125,415.0,420.3500061035156,318.530517578125,4174794
422.5,422.5,410.25,412.92498779296875,312.9039611816406,3724554
402.625,417.2250061035156,402.625,410.45001220703125,311.0285949707031,4716624
407.45001220703125,416.8999938964844,403.07501220703125,413.79998779296875,313.5670471191406,3310110
415.0,416.5,411.04998779296875,414.32501220703125,313.9649353027344,1694964
412.04998779296875,418.3999938964844,409.0,414.8999938964844,314.4006652832031,5517582
415.0,418.0,411.1499938964844,412.5249938964844,312.6009826660156,1997806
412.0,414.6499938964844,404.2749938964844,405.9750061035156,307.637451171875,3443266
404.29998779296875,408.04998779296875,398.57501220703125,400.0,303.1097106933594,3097160
400.0,403.625,388.6499938964844,390.32501220703125,295.7784118652344,7083046
393.17498779296875,404.8999938964844,391.04998779296875,403.8999938964844,306.0652160644531,5781432
408.5,408.5,399.625,401.67498779296875,304.3790283203125,3001836
404.45001220703125,404.45001220703125,396.07501220703125,398.0249938964844,301.6131591796875,3702366
395.0,404.5,390.57501220703125,399.0249938964844,302.3709716796875,3024558
398.0,403.75,395.0,399.7250061035156,302.90142822265625,4494438
401.0,403.95001220703125,394.125,395.79998779296875,299.9270935058594,3018012
395.5,400.0,395.04998779296875,399.04998779296875,302.3899841308594,2869882
400.0,411.8999938964844,393.625,410.42498779296875,311.0096130371094,8404916
411.0,417.45001220703125,409.5249938964844,410.8500061035156,311.3316345214844,4290952
409.5,414.0,405.92498779296875,407.54998779296875,308.8311462402344,3810958
405.0,412.5,400.375,405.9750061035156,307.637451171875,6947704
412.5,416.32501220703125,393.5,394.75,299.1314697265625,12016986
397.5,399.5,390.125,392.5,297.4264221191406,7107490
394.54998779296875,396.82501220703125,390.5,392.9750061035156,297.78631591796875,4751116
394.0249938964844,396.0,388.75,390.1000061035156,295.6077880859375,4306068
